data_hora,linha,estacao,produto,numero_serie,status,tempo_ciclo_segundos
2026-08-04 07:00:00,L03,POSTO05,PRODUTO_A,SN04000001,PASS,40
2026-08-04 07:00:48,L02,POSTO03,PRODUTO_D,SN04000002,PASS,59
2026-08-04 07:01:36,L02,POSTO04,PRODUTO_D,SN04000003,PASS,57
2026-08-04 07:02:24,L02,POSTO03,PRODUTO_A,SN04000004,PASS,45
2026-08-04 07:03:12,L03,POSTO05,PRODUTO_D,SN04000005,FAIL,77
2026-08-04 07:04:00,L03,POSTO05,PRODUTO_A,SN04000006,PASS,56
2026-08-04 07:04:48,L03,POSTO06,PRODUTO_C,SN04000007,PASS,57
2026-08-04 07:05:36,L02,POSTO04,PRODUTO_B,SN04000008,PASS,67
2026-08-04 07:06:24,L04,POSTO08,PRODUTO_B,SN04000009,PASS,52
2026-08-04 07:07:12,L02,POSTO03,PRODUTO_B,SN04000010,PASS,56
2026-08-04 07:08:00,L02,POSTO04,PRODUTO_A,SN04000011,PASS,46
2026-08-04 07:08:48,L02,POSTO04,PRODUTO_D,SN04000012,PASS,63
2026-08-04 07:09:36,L03,POSTO06,PRODUTO_D,SN04000013,PASS,67
2026-08-04 07:10:24,L01,POSTO01,PRODUTO_C,SN04000014,PASS,49
2026-08-04 07:11:12,L04,POSTO08,PRODUTO_A,SN04000015,PASS,51
2026-08-04 07:12:00,L02,POSTO03,PRODUTO_D,SN04000016,PASS,64
2026-08-04 07:12:48,L04,POSTO08,PRODUTO_A,SN04000017,PASS,39
2026-08-04 07:13:36,L03,POSTO05,PRODUTO_D,SN04000018,PASS,58
2026-08-04 07:14:24,L01,POSTO02,PRODUTO_C,SN04000019,PASS,59
2026-08-04 07:15:12,L01,POSTO02,PRODUTO_A,SN04000020,PASS,42
2026-08-04 07:16:00,L04,POSTO08,PRODUTO_C,SN04000021,PASS,62
2026-08-04 07:16:48,L04,POSTO07,PRODUTO_C,SN04000022,PASS,47
2026-08-04 07:17:36,L04,POSTO08,PRODUTO_B,SN04000023,PASS,62
2026-08-04 07:18:24,L02,POSTO04,PRODUTO_D,SN04000024,PASS,60
2026-08-04 07:19:12,L04,POSTO07,PRODUTO_A,SN04000025,PASS,42
2026-08-04 07:20:00,L02,POSTO04,PRODUTO_B,SN04000026,PASS,63
2026-08-04 07:20:48,L01,POSTO01,PRODUTO_A,SN04000027,PASS,50
2026-08-04 07:21:36,L01,POSTO02,PRODUTO_D,SN04000028,PASS,74
2026-08-04 07:22:24,L04,POSTO08,PRODUTO_A,SN04000029,PASS,45
2026-08-04 07:23:12,L03,POSTO06,PRODUTO_D,SN04000030,PASS,58
2026-08-04 07:24:00,L02,POSTO03,PRODUTO_B,SN04000031,PASS,50
2026-08-04 07:24:48,L04,POSTO08,PRODUTO_A,SN04000032,PASS,45
2026-08-04 07:25:36,L03,POSTO05,PRODUTO_C,SN04000033,PASS,64
2026-08-04 07:26:24,L01,POSTO02,PRODUTO_D,SN04000034,PASS,57
2026-08-04 07:27:12,L01,POSTO01,PRODUTO_C,SN04000035,PASS,54
2026-08-04 07:28:00,L03,POSTO06,PRODUTO_D,SN04000036,PASS,55
2026-08-04 07:28:48,L03,POSTO06,PRODUTO_A,SN04000037,PASS,51
2026-08-04 07:29:36,L01,POSTO01,PRODUTO_B,SN04000038,PASS,45
2026-08-04 07:30:24,L04,POSTO07,PRODUTO_A,SN04000039,PASS,45
2026-08-04 07:31:12,L04,POSTO08,PRODUTO_C,SN04000040,PASS,59
2026-08-04 07:32:00,L04,POSTO08,PRODUTO_B,SN04000041,PASS,60
2026-08-04 07:32:48,L04,POSTO07,PRODUTO_D,SN04000042,PASS,69
2026-08-04 07:33:36,L02,POSTO04,PRODUTO_A,SN04000043,PASS,49
2026-08-04 07:34:24,L04,POSTO08,PRODUTO_B,SN04000044,PASS,55
2026-08-04 07:35:12,L01,POSTO02,PRODUTO_A,SN04000045,PASS,48
2026-08-04 07:36:00,L03,POSTO05,PRODUTO_A,SN04000046,PASS,48
2026-08-04 07:36:48,L04,POSTO07,PRODUTO_A,SN04000047,PASS,43
2026-08-04 07:37:36,L03,POSTO05,PRODUTO_X,SN04000048,PASS,63
2026-08-04 07:38:24,L01,POSTO01,PRODUTO_B,SN04000049,PASS,50
2026-08-04 07:39:12,L03,POSTO05,PRODUTO_D,SN04000050,PASS,67
2026-08-04 07:40:00,L03,POSTO05,PRODUTO_C,SN04000051,PASS,64
2026-08-04 07:40:48,L03,POSTO06,PRODUTO_B,SN04000052,PASS,57
