data_hora,linha,estacao,produto,numero_serie,status,tempo_ciclo_segundos,descricao,familia,linha_meta,produto_meta,meta_ciclo_segundos,meta_pass_pct
2026-08-04 09:48:48,L01,POSTO01,PRODUTO_X,SN04000212,PASS,61,                                                                                                    ,                                                  ,,,,
2026-08-04 09:09:36,L01,POSTO01,PRODUTO_Y,SN04000163,PASS,52,                                                                                                    ,                                                  ,,,,
2026-08-04 09:27:12,L01,POSTO01,PRODUTO_Y,SN04000185,PASS,69,                                                                                                    ,                                                  ,,,,
2026-08-04 16:24:48,L01,POSTO02,PRODUTO_Y,SN04000707,PASS,55,                                                                                                    ,                                                  ,,,,
2026-08-04 17:56:00,L01,POSTO02,PRODUTO_Y,SN04000821,PASS,59,                                                                                                    ,                                                  ,,,,
2026-08-04 11:58:24,L02,POSTO04,PRODUTO_X,SN04000374,PASS,56,                                                                                                    ,                                                  ,,,,
2026-08-04 13:28:48,L02,POSTO03,PRODUTO_Y,SN04000487,PASS,63,                                                                                                    ,                                                  ,,,,
2026-08-04 15:17:36,L02,POSTO03,PRODUTO_Y,SN04000623,PASS,67,                                                                                                    ,                                                  ,,,,
2026-08-04 07:37:36,L03,POSTO05,PRODUTO_X,SN04000048,PASS,63,                                                                                                    ,                                                  ,,,,
2026-08-04 16:46:24,L03,POSTO06,PRODUTO_X,SN04000734,PASS,53,                                                                                                    ,                                                  ,,,,
2026-08-04 15:09:36,L03,POSTO05,PRODUTO_Y,SN04000613,PASS,49,                                                                                                    ,                                                  ,,,,
2026-08-04 07:32:48,L04,POSTO07,PRODUTO_D,SN04000042,PASS,69,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 07:43:12,L04,POSTO07,PRODUTO_D,SN04000055,PASS,67,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 07:54:24,L04,POSTO07,PRODUTO_D,SN04000069,PASS,70,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 09:28:48,L04,POSTO08,PRODUTO_D,SN04000187,FAIL,64,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 10:16:48,L04,POSTO08,PRODUTO_D,SN04000247,PASS,65,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 11:03:12,L04,POSTO08,PRODUTO_D,SN04000305,PASS,60,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 11:10:24,L04,POSTO08,PRODUTO_D,SN04000314,PASS,61,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 12:42:24,L04,POSTO07,PRODUTO_D,SN04000429,PASS,69,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 13:34:24,L04,POSTO08,PRODUTO_D,SN04000494,PASS,61,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 14:57:36,L04,POSTO07,PRODUTO_D,SN04000598,PASS,69,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 15:20:48,L04,POSTO08,PRODUTO_D,SN04000627,PASS,69,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 15:42:24,L04,POSTO07,PRODUTO_D,SN04000654,PASS,60,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 16:28:00,L04,POSTO07,PRODUTO_D,SN04000711,PASS,65,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 16:38:24,L04,POSTO08,PRODUTO_D,SN04000724,PASS,65,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 17:19:12,L04,POSTO08,PRODUTO_D,SN04000775,PASS,64,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 18:12:00,L04,POSTO07,PRODUTO_D,SN04000841,FAIL,66,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 18:23:12,L04,POSTO08,PRODUTO_D,SN04000855,PASS,66,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 18:41:36,L04,POSTO08,PRODUTO_D,SN04000878,PASS,67,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 19:12:00,L04,POSTO07,PRODUTO_D,SN04000916,PASS,72,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 20:04:00,L04,POSTO08,PRODUTO_D,SN04000981,PASS,71,Placa Modelo D                                                                                      ,FAMILY_D                                          ,,,,
2026-08-04 09:24:48,L04,POSTO08,PRODUTO_X,SN04000182,FAIL,65,                                                                                                    ,                                                  ,,,,
2026-08-04 10:41:36,L04,POSTO08,PRODUTO_X,SN04000278,PASS,64,                                                                                                    ,                                                  ,,,,
2026-08-04 11:07:12,L04,POSTO08,PRODUTO_X,SN04000310,PASS,69,                                                                                                    ,                                                  ,,,,
2026-08-04 13:26:24,L04,POSTO08,PRODUTO_X,SN04000484,PASS,73,                                                                                                    ,                                                  ,,,,
2026-08-04 16:51:12,L04,POSTO07,PRODUTO_X,SN04000740,PASS,63,                                                                                                    ,                                                  ,,,,
